DateTime,Births per 1000 People,indicator corruption index,Home Ownership Rate,GDP per Capita,Average Monthly Wage,Consumer Spending,Youth Unemployment Rate,Unemployment Rate,Personal Savings,Labor Force Participation Rate,Inflation Rate,Housing Index,Food Inflation,Consumer Price Index CPI
1999-12-31T00:00:00,9.662,77,48.2,25237.48,11368.75,240226.5,7.56,6.25,3.75,61.37,-3.94,54.84,-1.83,73.64
2000-12-31T00:00:00,9.355,77,51.1,26933.06,11357,251074.5,5.96,5.11,4.47,61.32,-3.73,48.99,-2.18,70.9
2001-12-31T00:00:00,9.049,79,52.2,26885.24,11334.75,254590.5,5.97,4.93,2.17,61.48,-1.6,42.15,-0.81,69.76
2002-12-31T00:00:00,8.742,82,53,27209.87,10965,251926.5,8.17,7.22,0.14,61.79,-3.05,38.02,-2.08,67.63
2003-12-31T00:00:00,8.436,80,53.4,28096.9,10807.25,248003.25,8.8,7.9,0,61.5,-2.6,33.5,-1.6,65.9
2004-12-31T00:00:00,8.558,80,54.3,30304.08,10493.5,265679.25,6.98,6.88,0.02,61.32,-0.43,45.61,1.08,65.64
2005-12-31T00:00:00,8.68,83,53.7,32401.14,10532,275093.75,6.24,5.7,0.97,61.03,0.98,53.35,1.75,66.24
2006-12-31T00:00:00,8.802,83,53.5,34457.76,10956,291862.25,5.65,4.84,2.5,61.22,2.06,52.64,1.76,67.57
2007-12-31T00:00:00,8.924,83,53.1,36371.39,11369,317103,4.75,4.12,2.1,61.26,2.01,56.65,4.26,68.94
2008-12-31T00:00:00,9.046,81,53.6,36923.8,11375,323126.25,4.5,3.5,0.1,60.9,4.3,67.3,10.2,71.9
2009-12-31T00:00:00,9.334,82,53.5,35938.35,11106.5,323705.25,7.06,5.2,0.01,60.83,0.52,66.01,1.33,72.33
2010-12-31T00:00:00,9.622,84,53.1,38089.76,11578,343496.75,6.64,4.4,0.01,59.64,2.38,81.17,2.38,73.98
2011-12-31T00:00:00,9.909,84,53.2,39656.06,12689.75,372325.5,5.35,3.48,0.01,60.03,5.28,95.98,6.97,77.91
2012-12-31T00:00:00,10.197,77,52,39887.56,13258,387600.75,5.31,3.3,0.01,60.44,4.06,103.88,5.85,81.07
2013-12-31T00:00:00,10.485,75,51.1,40959.7,13807.25,405507.75,5.5,3.4,0,61.3,4.3,118,4.4,84.6
2014-12-31T00:00:00,10.605,74,50.9,41796.58,14240.25,419050.75,5.41,3.24,0.01,61.15,4.43,121.17,4.13,88.33
2015-12-31T00:00:00,10.725,75,50.3,42431.89,14847.75,439003.75,5.88,3.3,0.01,61.37,3,137.52,3.95,90.97
2016-12-31T00:00:00,10.845,77,50.4,43087.27,15270.5,447765,5.95,3.39,0.01,61.18,2.42,132.63,3.38,93.16
2017-12-31T00:00:00,10.965,77,49.4,44380.53,15703.25,472348.5,5.81,3.13,0.01,61.18,1.48,155.56,2.18,94.55
2018-12-31T00:00:00,11.085,76,49.4,45280.21,16488.25,497337.25,5.46,2.83,0.04,61.18,2.42,176.23,3.37,96.83
2019-12-31T00:00:00,11.027,76,50.1,44192.38,17108.25,493359.5,5.43,2.93,0.11,60.57,2.88,177.65,4.86,99.62
